game,league,season,team_name,player,jersey_number,pos,match_name
2022-10-23 Villarreal-Almería,ESP-La Liga,2223,Almería,Alejandro Pozo Pozo,17,RB,Villarreal-Almería
2022-10-29 Almería-Celta Vigo,ESP-La Liga,2223,Almería,Íñigo Eguaras,4,CM,Almería-Celta de Vigo
2022-10-29 Almería-Celta Vigo,ESP-La Liga,2223,Almería,Srđan Babić,22,CB,Almería-Celta de Vigo
2022-10-29 Almería-Celta Vigo,ESP-La Liga,2223,Almería,Sergio Akieme,15,LB,Almería-Celta de Vigo
2022-10-29 Almería-Celta Vigo,ESP-La Liga,2223,Almería,Rodrigo Ely,19,CB,Almería-Celta de Vigo
2022-10-29 Almería-Celta Vigo,ESP-La Liga,2223,Almería,Léo Baptistão,12,RM,Almería-Celta de Vigo
2022-10-29 Almería-Celta Vigo,ESP-La Liga,2223,Almería,Lázaro,14,LM,Almería-Celta de Vigo
2022-10-29 Almería-Celta Vigo,ESP-La Liga,2223,Almería,Lucas Robertone,5,CM,Almería-Celta de Vigo
2022-10-29 Almería-Celta Vigo,ESP-La Liga,2223,Almería,Largie Ramazani,7,RM,Almería-Celta de Vigo
2022-10-29 Almería-Celta Vigo,ESP-La Liga,2223,Almería,Houboulang Mendes,24,RB,Almería-Celta de Vigo
2023-04-22 Almería-Athletic Club,ESP-La Liga,2223,Almería,Álex Centelles,20,LB,Almería-Athletic Club
2022-10-29 Almería-Celta Vigo,ESP-La Liga,2223,Almería,Gonzalo Melero,3,CM,Almería-Celta de Vigo
2022-10-29 Almería-Celta Vigo,ESP-La Liga,2223,Almería,El Bilal Touré,9,FW,Almería-Celta de Vigo
2022-10-29 Almería-Celta Vigo,ESP-La Liga,2223,Almería,Dyego Sousa,11,FW,Almería-Celta de Vigo
2022-10-29 Almería-Celta Vigo,ESP-La Liga,2223,Almería,César de la Hoz,6,DM,Almería-Celta de Vigo
2022-10-29 Almería-Celta Vigo,ESP-La Liga,2223,Almería,Alejandro Pozo Pozo,17,RB,Almería-Celta de Vigo
2022-10-29 Almería-Celta Vigo,ESP-La Liga,2223,Almería,Adri Embarba,10,LM,Almería-Celta de Vigo
2022-10-23 Villarreal-Almería,ESP-La Liga,2223,Almería,Íñigo Eguaras,4,CM,Villarreal-Almería
2022-10-23 Villarreal-Almería,ESP-La Liga,2223,Almería,Sergio Akieme,15,LB,Villarreal-Almería
2022-10-23 Villarreal-Almería,ESP-La Liga,2223,Almería,Rodrigo Ely,19,CB,Villarreal-Almería
2022-10-23 Villarreal-Almería,ESP-La Liga,2223,Almería,Léo Baptistão,12,FW,Villarreal-Almería
2022-10-29 Almería-Celta Vigo,ESP-La Liga,2223,Almería,Fernando,13,GK,Almería-Celta de Vigo
2023-04-22 Almería-Athletic Club,ESP-La Liga,2223,Almería,Srđan Babić,22,CB,Almería-Athletic Club
2023-04-22 Almería-Athletic Club,ESP-La Liga,2223,Almería,Samu Costa,23,DM,Almería-Athletic Club
2023-04-22 Almería-Athletic Club,ESP-La Liga,2223,Almería,Rodrigo Ely,19,CB,Almería-Athletic Club
2022-08-22 Elche-Almería,ESP-La Liga,2223,Almería,Largie Ramazani,7,FW,Elche-Almería
2022-08-22 Elche-Almería,ESP-La Liga,2223,Almería,Lucas Robertone,5,AM,Elche-Almería
2022-08-22 Elche-Almería,ESP-La Liga,2223,Almería,Léo Baptistão,12,AM,Elche-Almería
2022-08-22 Elche-Almería,ESP-La Liga,2223,Almería,Rodrigo Ely,19,CB,Elche-Almería
2022-08-22 Elche-Almería,ESP-La Liga,2223,Almería,Samu Costa,23,CM,Elche-Almería
2022-08-22 Elche-Almería,ESP-La Liga,2223,Almería,Sergio Akieme,15,WB,Elche-Almería
2022-08-22 Elche-Almería,ESP-La Liga,2223,Almería,Srđan Babić,22,CB,Elche-Almería
2022-08-22 Elche-Almería,ESP-La Liga,2223,Almería,Umar Sadiq,9,FW,Elche-Almería
2022-08-22 Elche-Almería,ESP-La Liga,2223,Almería,Íñigo Eguaras,4,CM,Elche-Almería
2023-04-22 Almería-Athletic Club,ESP-La Liga,2223,Almería,Adri Embarba,10,"RW,LW",Almería-Athletic Club
2023-04-22 Almería-Athletic Club,ESP-La Liga,2223,Almería,Alejandro Pozo Pozo,17,RB,Almería-Athletic Club
2023-04-22 Almería-Athletic Club,ESP-La Liga,2223,Almería,Arnau Puigmal,18,RW,Almería-Athletic Club
2023-04-22 Almería-Athletic Club,ESP-La Liga,2223,Almería,Chumi,21,"RB,CB",Almería-Athletic Club
2023-04-22 Almería-Athletic Club,ESP-La Liga,2223,Almería,Dyego Sousa,11,FW,Almería-Athletic Club
2023-04-22 Almería-Athletic Club,ESP-La Liga,2223,Almería,Fernando,13,GK,Almería-Athletic Club
2023-04-22 Almería-Athletic Club,ESP-La Liga,2223,Almería,Francisco Portillo,8,AM,Almería-Athletic Club
2023-04-22 Almería-Athletic Club,ESP-La Liga,2223,Almería,Gonzalo Melero,3,AM,Almería-Athletic Club
2023-04-22 Almería-Athletic Club,ESP-La Liga,2223,Almería,Lucas Robertone,5,DM,Almería-Athletic Club
2023-04-22 Almería-Athletic Club,ESP-La Liga,2223,Almería,Luis Javier Suárez,16,FW,Almería-Athletic Club
2023-04-22 Almería-Athletic Club,ESP-La Liga,2223,Almería,Lázaro,14,"LW,RW",Almería-Athletic Club
2023-04-22 Almería-Athletic Club,ESP-La Liga,2223,Almería,Léo Baptistão,12,"LW,RW",Almería-Athletic Club
2022-10-23 Villarreal-Almería,ESP-La Liga,2223,Almería,Lázaro,14,"FW,CM",Villarreal-Almería
2022-10-23 Villarreal-Almería,ESP-La Liga,2223,Almería,Lucas Robertone,5,CM,Villarreal-Almería
2022-10-23 Villarreal-Almería,ESP-La Liga,2223,Almería,Largie Ramazani,7,FW,Villarreal-Almería
2022-10-23 Villarreal-Almería,ESP-La Liga,2223,Almería,Kaiky,2,CB,Villarreal-Almería
2023-04-26 Getafe-Almería,ESP-La Liga,2223,Almería,Chumi,21,"CB,RB",Getafe-Almería
2023-04-26 Getafe-Almería,ESP-La Liga,2223,Almería,César de la Hoz,6,"CM,CB",Getafe-Almería
2023-04-26 Getafe-Almería,ESP-La Liga,2223,Almería,Fernando,13,GK,Getafe-Almería
2023-04-26 Getafe-Almería,ESP-La Liga,2223,Almería,Francisco Portillo,8,"LW,CM",Getafe-Almería
2023-04-26 Getafe-Almería,ESP-La Liga,2223,Almería,Gonzalo Melero,3,RM,Getafe-Almería
2023-04-26 Getafe-Almería,ESP-La Liga,2223,Almería,Kaiky,2,"CB,RW",Getafe-Almería
2022-10-20 Almería-Girona,ESP-La Liga,2223,Almería,Srđan Babić,22,CB,Almería-Girona
2022-10-20 Almería-Girona,ESP-La Liga,2223,Almería,Sergio Akieme,15,LB,Almería-Girona
2022-10-20 Almería-Girona,ESP-La Liga,2223,Almería,Samu Costa,23,"DM,RW,CM",Almería-Girona
2022-10-20 Almería-Girona,ESP-La Liga,2223,Almería,Rodrigo Ely,19,CB,Almería-Girona
2022-10-20 Almería-Girona,ESP-La Liga,2223,Almería,Léo Baptistão,12,RW,Almería-Girona
